"city","sum","logi","lati"
"(not set)",2185257,NA,NA
"Zhongli District",129609,121.2053963,24.9721514
"Taoyuan District",70940,121.3009798,24.9936281
"Neihu District",44472,121.5909027,25.0689422
"Zhudong Township",41790,121.0449768,24.774922
"Changhua City",28060,120.5161352,24.0517963
"Pingtung City",23566,120.4918824,22.6747543
"Yuanlin City",23473,120.5738354,23.9619133
"Zhubei City",22177,121.0169462,24.8287095
"Douliu City",22037,120.5409089,23.7077947
"Chiayi City",19116,120.4491113,23.4800751
"Tainan City",16851,120.2268758,22.9998999
"Yilan City",15268,121.753743,24.7591243
"Zhunan Township",11638,120.8786026,24.7009219
"Hualien City",10598,121.5997835,23.9830586
"Sanzhong District",9804,121.4867114,25.0614534
"Caotun Township",9588,120.7234992,23.9933816
"Miaoli City",9131,120.8185385,24.5631665
"Nantou City",8539,120.6775164,23.9179593
"Guishan District",6619,121.3655989,25.0199092
"Osaka",5410,135.5021651,34.6937378
"Luzhu District",5077,121.2969674,25.0784359
"Taitung City",4983,121.1438152,22.7613207
"Toufen City",4390,120.9024836,24.6884438
"Minxiong Township",4260,120.4588059,23.5479954
"Hong Kong",4221,114.109497,22.396428
"Huwei Township",3979,120.4242401,23.7162184
"Magong City",3311,119.5774616,23.5706269
"Keelung City",3078,121.7391833,25.1276033
"Brisbane",2964,153.0251235,-27.4697707
"Melbourne",2659,-80.6081089,28.0836269
"Sydney",2469,151.2092955,-33.8688197
"Puli Township",2430,120.9646866,23.9932872
"Bade District",2425,121.2912463,24.9469059
"Shoufeng Township",2263,121.5598345,23.8593411
"Dayuan District",1699,121.193945,25.0492632
"Shanghai",1637,121.473701,31.230416
"Shinjuku",1633,139.7035494,35.6938401
"Lukang Township",1561,120.447285,24.0755127
"Ho Chi Minh City",1511,106.6296638,10.8230989
"Seoul",1492,126.9779692,37.566535
"Daxi District",1482,121.2969674,24.8658422
"Pingzhen District",1481,121.2053963,24.9296022
"Singapore",1337,103.819836,1.352083
"Bangkok",1249,100.5017651,13.7563309
"Hukou Township",1204,121.0449768,24.8814458
"Yangmei District",1203,121.1366715,24.9242108
"Hemei Township",1152,120.5163949,24.1246022
"Macau",1027,113.543873,22.198745
"New York",1011,-74.0059413,40.7127837
"Suzhou",923,120.58529,31.298979
"Donggang Township",858,120.4703258,22.4628783
"Longtan District",831,126.562197,43.910803
"Luodong Township",828,121.7708337,24.675606
"Jiaoxi Township",826,121.7309452,24.8068769
"Shenzhen",747,114.057865,22.543096
"Kyoto",741,135.7680294,35.0116363
"Beidou Township",702,120.5336665,23.869208
"Dongguan",640,113.7518,23.020673
"Hua-Lien",634,121.6015714,23.9871589
"Beijing",626,116.407395,39.904211
"London",625,-0.1277583,51.5073509
"Minato",545,139.7515992,35.6580681
"San Francisco",523,-122.4194155,37.7749295
"Dounan Township",491,120.4933624,23.658401
"Chaozhou Township",488,120.5624474,22.5294168
"Hengchun Township",471,120.7464897,21.9773373
"Sanxing Township",460,121.662532,24.6744894
"Kuala Lumpur",445,101.686855,3.139003
"Los Angeles",434,-118.2436849,34.0522342
"Boston",399,-71.0588801,42.3600825
"Xihu Township",395,120.4933624,23.9583265
"Guangzhou",384,113.264385,23.12911
"Busan",383,129.0756416,35.1795543
"Hanoi",355,105.8341598,21.0277644
"Mailiao Township",346,120.2397336,23.7774603
"Shibuya",312,139.7040506,35.6617773
"Guanyin District",307,121.1137544,25.0359365
"Xiamen",304,118.089425,24.479834
"Nagoya",298,136.906398,35.1814464
"Zhushan Township",287,120.6890055,23.712201
"Toronto",257,-79.3831843,43.653226
"Naha",225,127.6791568,26.2123124
"Sapporo",215,141.3543763,43.0620958
"Fukuoka",209,130.4017155,33.5903547
"Chicago",172,-87.6297982,41.8781136
"Makati",166,121.0244452,14.554729
"Guiyang",162,106.630154,26.647661
"Wuxi",155,120.31191,31.49117
"Zhengzhou",132,113.625328,34.746611
"Vancouver",129,-122.6614861,45.6387281
"Incheon",120,126.7052062,37.4562557
"Chongqing",113,106.551556,29.56301
"Jakarta",101,106.845599,-6.2087634
"Hangzhou",89,120.15507,30.274085
"Xi'an",88,108.93977,34.341575
"Fuzhou",85,119.296494,26.074508
"Zaoqiao Township",85,120.8613785,24.6248068
"Nanjing",76,118.796877,32.060255
"Zhuhai",76,113.576678,22.270978
"Cupertino",73,-122.0321823,37.3229978
"Nerima",63,139.6516577,35.7356234
"Chengdu",60,104.066801,30.572816
"Quezon City",55,121.0437003,14.6760413
"Zurich",47,8.541694,47.3768866
"Philadelphia",44,-75.1652215,39.9525839
"Prague",41,14.4378005,50.0755381
"Paranaque",40,121.0198229,14.4793095
"Port Dickson",39,101.7962932,2.52254
"Sunnyvale",38,-122.0363496,37.36883
"Suwon-si",38,127.0286009,37.2635727
"Daegu",36,128.601445,35.8714354
"Zhangzhou",34,117.647093,24.513025
"Nanning",33,108.366543,22.817002
"Hefei",30,117.227219,31.820592
"Jinan",27,117.12,36.651216
"Tianjin",24,117.200983,39.084158
"Tokushima",21,134.5548438,34.0702703
"Changsha",16,112.938814,28.228209
"Newark",16,-74.1723667,40.735657
"Interlaken",4,7.8632049,46.6863481
"Lijiang",3,100.227751,26.855047
