"city","sum","lng","lat"
"(not set)",412599,0,0
"Zhongli District",42503,121.2053963,24.9721514
"Taoyuan District",23619,121.3009798,24.9936281
"Neihu District",17984,121.5909027,25.0689422
"Zhudong Township",11479,121.0449768,24.774922
"Changhua City",7199,120.5161352,24.0517963
"Zhubei City",6883,121.0169462,24.8287095
"Yuanlin City",5972,120.5738354,23.9619133
"Pingtung City",5745,120.4918824,22.6747543
"Chiayi City",5280,120.4491113,23.4800751
"Douliu City",5279,120.5409089,23.7077947
"Tainan City",4457,120.2268758,22.9998999
"Yilan City",3763,121.753743,24.7591243
"Sanzhong District",3554,121.4867114,25.0614534
"Zhunan Township",3220,120.8786026,24.7009219
"Hualien City",2632,121.5997835,23.9830586
"Caotun Township",2477,120.7234992,23.9933816
"Nantou City",2387,120.6775164,23.9179593
"Miaoli City",2378,120.8185385,24.5631665
"Osaka",2162,135.5021651,34.6937378
"Guishan District",1927,121.3655989,25.0199092
"Luzhu District",1650,121.2969674,25.0784359
"Toufen City",1484,120.9024836,24.6884438
"Taitung City",1283,121.1438152,22.7613207
"Hong Kong",1180,114.109497,22.396428
"Minxiong Township",1029,120.4588059,23.5479954
"Huwei Township",916,120.4242401,23.7162184
"Keelung City",905,121.7391833,25.1276033
"Bade District",852,121.2912463,24.9469059
"Magong City",798,119.5774616,23.5706269
"Pingzhen District",724,121.2053963,24.9296022
"Brisbane",678,153.0251235,-27.4697707
"Shinjuku",657,139.7035494,35.6938401
"Daxi District",598,121.2969674,24.8658422
"Puli Township",581,120.9646866,23.9932872
"Dayuan District",556,121.193945,25.0492632
"New York",532,-74.0059413,40.7127837
"Sydney",500,151.2092955,-33.8688197
"Ho Chi Minh City",491,106.6296638,10.8230989
"Shoufeng Township",491,121.5598345,23.8593411
"Hukou Township",462,121.0449768,24.8814458
"Shanghai",431,121.473701,31.230416
"Seoul",425,126.9779692,37.566535
"Hemei Township",415,120.5163949,24.1246022
"Yangmei District",405,121.1366715,24.9242108
"Longtan District",362,126.562197,43.910803
"Jiaoxi Township",358,121.7309452,24.8068769
"Kyoto",355,135.7680294,35.0116363
"Bangkok",344,100.5017651,13.7563309
"Lukang Township",343,120.447285,24.0755127
"Suzhou",340,120.58529,31.298979
"Macau",323,113.543873,22.198745
"Melbourne",313,-80.6081089,28.0836269
"San Francisco",283,-122.4194155,37.7749295
"Singapore",279,103.819836,1.352083
"Luodong Township",277,121.7708337,24.675606
"Hua-Lien",273,121.6015714,23.9871589
"London",260,-0.1277583,51.5073509
"Shenzhen",248,114.057865,22.543096
"Minato",247,139.7515992,35.6580681
"Los Angeles",243,-118.2436849,34.0522342
"Guanyin District",221,121.1137544,25.0359365
"Hengchun Township",215,120.7464897,21.9773373
"Beijing",211,116.407395,39.904211
"Dongguan",210,113.7518,23.020673
"Donggang Township",199,120.4703258,22.4628783
"Chaozhou Township",176,120.5624474,22.5294168
"Shibuya",173,139.7040506,35.6617773
"Xihu Township",172,120.4933624,23.9583265
"Guangzhou",158,113.264385,23.12911
"Hanoi",147,105.8341598,21.0277644
"Nagoya",145,136.906398,35.1814464
"Beidou Township",142,120.5336665,23.869208
"Kuala Lumpur",127,101.686855,3.139003
"Xiamen",120,118.089425,24.479834
"Zhushan Township",109,120.6890055,23.712201
"Hangzhou",108,120.15507,30.274085
"Dounan Township",100,120.4933624,23.658401
"Sapporo",99,141.3543763,43.0620958
"Sanxing Township",96,121.662532,24.6744894
"Mailiao Township",94,120.2397336,23.7774603
"Naha",90,127.6791568,26.2123124
"Fukuoka",86,130.4017155,33.5903547
"Chicago",79,-87.6297982,41.8781136
"Toronto",77,-79.3831843,43.653226
"Makati",67,121.0244452,14.554729
"Zhuhai",65,113.576678,22.270978
"Busan",63,129.0756416,35.1795543
"Jakarta",61,106.845599,-6.2087634
"Wuxi",60,120.31191,31.49117
"Nanjing",51,118.796877,32.060255
"Zaoqiao Township",47,120.8613785,24.6248068
"Prague",43,14.4378005,50.0755381
"Quezon City",43,121.0437003,14.6760413
"Boston",40,-71.0588801,42.3600825
"Incheon",39,126.7052062,37.4562557
"Chongqing",36,106.551556,29.56301
"Zurich",32,8.541694,47.3768866
"Guiyang",28,106.630154,26.647661
"Chengdu",27,104.066801,30.572816
"Xi'an",26,108.93977,34.341575
"Hefei",24,117.227219,31.820592
"Fuzhou",23,119.296494,26.074508
"Vancouver",23,-122.6614861,45.6387281
"Zhangzhou",23,117.647093,24.513025
"Nerima",22,139.6516577,35.7356234
"Zhengzhou",21,113.625328,34.746611
"Changsha",20,112.938814,28.228209
"Cupertino",18,-122.0321823,37.3229978
"Philadelphia",18,-75.1652215,39.9525839
"Nanning",17,108.366543,22.817002
"Newark",17,-74.1723667,40.735657
"Suwon-si",17,127.0286009,37.2635727
"Daegu",16,128.601445,35.8714354
"Sunnyvale",13,-122.0363496,37.36883
"Port Dickson",10,101.7962932,2.52254
"Tokushima",8,134.5548438,34.0702703
